[2026-07-09T04:05:25.997Z] GET http://127.0.0.1:8765/presentacion.html → 200 (17ms, ?B)
[2026-07-09T04:05:26.100Z] GET http://127.0.0.1:8765/Fotos/valde-linkedin.jpeg → 200 (15ms, 28119B)
[2026-07-09T04:05:26.100Z] GET http://127.0.0.1:8765/Fotos/valde-brindis-amigos.jpeg → 200 (16ms, 45825B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/videos/mensaje-inicial-cata.mp4 → 200 (24ms, ?B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/valde-baile-tactica.mp4 → 200 (23ms, ?B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/footage-1.mp4 → 200 (24ms, ?B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/footage-2.mp4 → 200 (24ms, ?B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/videos/anime.mp4 → 200 (25ms, ?B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/videos/frase-tipica.mp4 → 200 (25ms, ?B)
[2026-07-09T04:05:26.126Z] GET http://127.0.0.1:8765/Fotos/videos/paso-tipico.mp4 → 200 (26ms, ?B)
[2026-07-09T04:05:26.127Z] GET http://127.0.0.1:8765/Fotos/videos/kiss-marry-kill.mp4 → 200 (25ms, ?B)
[2026-07-09T04:05:26.127Z] GET http://127.0.0.1:8765/Fotos/videos/desafio-final.mp4 → 200 (27ms, ?B)
